sample_id;collected_at;taxon_id;collection;id_feature;feature_value;FOI;original_data
BRS18-1-03;TVL;2543085;SACHA;IFC-78;IFV-2;IFG-6;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-79;IFV-2;IFG-6;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-89;IFV-2;IFG-6;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-92;IFV-2;IFG-6;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-93;IFV-2;IFG-6;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-96;IFV-2;IFG-7;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-97;IFV-3;IFG-7;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-104;IFV-2;IFG-7;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-106;IFV-2;IFG-7;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-116;IFV-2;IFG-7;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-136;IFV-2;IFG-10;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-137;IFV-2;IFG-10;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-138;IFV-2;IFG-10;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-142;IFV-4;IFG-10;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-143;IFV-2;IFG-10;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-04;TVL;2812165;SACHA;IFC-2;IFV-2;IFG-3;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-5;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-11;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-13;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-22;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-26;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-27;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-31;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-32;IFV-3;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-42;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-47;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-56;IFV-2;IFG-4;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-61;IFV-2;IFG-5;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-63;IFV-2;IFG-5;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-66;IFV-2;IFG-5;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
BRS18-1-04;TVL;2812165;SACHA;IFC-69;IFV-2;IFG-5;BRS18-1-04 - MORACEAE Ficus Ficus salicifolia
