sample_id;taxon_id;collection;id_feature;feature_value;FOI;original_data
IW-4;2466087.0;Inside Wood;IFC-105;IFV-3;IFG-7;ACANTHACEAE Whitfieldia colorata
IW-4;2466087.0;Inside Wood;IFC-109;IFV-3;IFG-7;ACANTHACEAE Whitfieldia colorata
IW-4;2466087.0;Inside Wood;IFC-112;IFV-4;IFG-7;ACANTHACEAE Whitfieldia colorata
IW-4;2466087.0;Inside Wood;IFC-113;IFV-4;IFG-7;ACANTHACEAE Whitfieldia colorata
IW-5;2924127.0;Inside Wood;IFC-10;IFV-3;IFG-4;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-23;IFV-3;IFG-4;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-103;IFV-4;IFG-7;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-105;IFV-3;IFG-7;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-114;IFV-4;IFG-7;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Buchnerodendron speciosum
IW-5;2924127.0;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Buchnerodendron speciosum
IW-6;2924146.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-23;IFV-4;IFG-4;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-32;IFV-3;IFG-4;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-42;IFV-3;IFG-4;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-63;IFV-3;IFG-5;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-102;IFV-3;IFG-7;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-112;IFV-4;IFG-7;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-6;2924146.0;Inside Wood;IFC-113;IFV-4;IFG-7;ACHARIACEAE Caloncoba brevipes (Stapf) Gilg
IW-7;2924150.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-23;IFV-4;IFG-4;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-112;IFV-4;IFG-7;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-113;IFV-4;IFG-7;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-7;2924150.0;Inside Wood;IFC-138;IFV-3;IFG-10;ACHARIACEAE Caloncoba echinata (Oliv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-19;IFV-3;IFG-4;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-78;IFV-3;IFG-6;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-93;IFV-3;IFG-6;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-94;IFV-3;IFG-6;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-112;IFV-3;IFG-7;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-8;2924155.0;Inside Wood;IFC-113;IFV-3;IFG-7;ACHARIACEAE Caloncoba glauca (P.Beauv.) Gilg
IW-9;2924143.0;Inside Wood;IFC-12;IFV-3;IFG-4;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-34;IFV-4;IFG-4;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-70;IFV-3;IFG-5;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-109;IFV-4;IFG-7;ACHARIACEAE Caloncoba SPP.
IW-9;2924143.0;Inside Wood;IFC-112;IFV-3;IFG-7;ACHARIACEAE Caloncoba SPP.
IW-10;2924163.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Caloncoba welwitschii (Oliv.) Gilg
IW-10;2924163.0;Inside Wood;IFC-107;IFV-3;IFG-7;ACHARIACEAE Caloncoba welwitschii (Oliv.) Gilg
IW-10;2924163.0;Inside Wood;IFC-112;IFV-3;IFG-7;ACHARIACEAE Caloncoba welwitschii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-9;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-12;IFV-4;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-23;IFV-4;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-32;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-36;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-38;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-42;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-49;IFV-3;IFG-4;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-61;IFV-3;IFG-5;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-68;IFV-3;IFG-5;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-136;IFV-3;IFG-10;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-137;IFV-3;IFG-10;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-138;IFV-3;IFG-10;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-144;IFV-3;IFG-10;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-11;2924169.0;Inside Wood;IFC-145;IFV-3;IFG-10;ACHARIACEAE Camptostylus mannii (Oliv.) Gilg
IW-12;2924774.0;Inside Wood;IFC-9;IFV-3;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-12;2924774.0;Inside Wood;IFC-12;IFV-4;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-12;2924774.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-12;2924774.0;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-12;2924774.0;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-12;2924774.0;Inside Wood;IFC-137;IFV-4;IFG-10;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp
IW-13;2924774.0;Inside Wood;IFC-12;IFV-4;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-16;IFV-3;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-23;IFV-4;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-34;IFV-4;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-40;IFV-3;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-48;IFV-3;IFG-4;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-70;IFV-3;IFG-5;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-97;IFV-3;IFG-7;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-13;2924774.0;Inside Wood;IFC-138;IFV-3;IFG-10;ACHARIACEAE Dasylepis racemosa Oliv.|Synonym: ACHARIACEAE Dasylepis brevipedicellata Chipp|ACHARIACEAE Dasylepis seretii De Wild.
IW-14;2922700.0;Inside Wood;IFC-1;IFV-3;IFG-3;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-7;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-10;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-23;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-32;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-56;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-58;IFV-3;IFG-4;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-98;IFV-3;IFG-7;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-100;IFV-3;IFG-7;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-136;IFV-3;IFG-10;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-137;IFV-3;IFG-10;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-14;2922700.0;Inside Wood;IFC-138;IFV-3;IFG-10;ACHARIACEAE Kiggelaria africana L. (WILD PEACH)
IW-15;2922699.0;Inside Wood;IFC-23;IFV-3;IFG-4;ACHARIACEAE Kiggelaria SPP.
IW-15;2922699.0;Inside Wood;IFC-105;IFV-3;IFG-7;ACHARIACEAE Kiggelaria SPP.
IW-15;2922699.0;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Kiggelaria SPP.
IW-15;2922699.0;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Kiggelaria SPP.
IW-15;2922699.0;Inside Wood;IFC-136;IFV-3;IFG-10;ACHARIACEAE Kiggelaria SPP.
IW-15;2922699.0;Inside Wood;IFC-138;IFV-3;IFG-10;ACHARIACEAE Kiggelaria SPP.
IW-16;2922823.0;Inside Wood;IFC-10;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-12;IFV-4;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-14;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-15;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-23;IFV-4;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-32;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-34;IFV-4;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-36;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-38;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-40;IFV-3;IFG-4;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-61;IFV-3;IFG-5;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-97;IFV-3;IFG-7;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-115;IFV-3;IFG-7;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-144;IFV-3;IFG-10;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-16;2922823.0;Inside Wood;IFC-145;IFV-3;IFG-10;ACHARIACEAE Lindackeria dentata (Oliv.) Gilg|Synonym: SALICACEAE Oncoba dentata Oliv.
IW-17;;Inside Wood;IFC-10;IFV-3;IFG-4;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-12;IFV-4;IFG-4;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-103;IFV-4;IFG-7;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-105;IFV-3;IFG-7;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Lindackeria laurina C. Presl
IW-17;;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Lindackeria laurina C. Presl
IW-18;2922826.0;Inside Wood;IFC-10;IFV-3;IFG-4;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-12;IFV-3;IFG-4;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-27;IFV-3;IFG-4;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-103;IFV-4;IFG-7;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-105;IFV-3;IFG-7;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-112;IFV-3;IFG-7;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-115;IFV-4;IFG-7;ACHARIACEAE Lindackeria SPP.
IW-18;2922826.0;Inside Wood;IFC-116;IFV-4;IFG-7;ACHARIACEAE Lindackeria SPP.
IW-19;2923111.0;Inside Wood;IFC-12;IFV-3;IFG-4;ACHARIACEAE Rawsonia lucida (FOREST PEACH)|Synonym: ACHARIACEAE Rawsonia usambarensis
IW-19;2923111.0;Inside Wood;IFC-34;IFV-4;IFG-4;ACHARIACEAE Rawsonia lucida (FOREST PEACH)|Synonym: ACHARIACEAE Rawsonia usambarensis
IW-19;2923111.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Rawsonia lucida (FOREST PEACH)|Synonym: ACHARIACEAE Rawsonia usambarensis
IW-19;2923111.0;Inside Wood;IFC-63;IFV-4;IFG-5;ACHARIACEAE Rawsonia lucida (FOREST PEACH)|Synonym: ACHARIACEAE Rawsonia usambarensis
IW-19;2923111.0;Inside Wood;IFC-103;IFV-3;IFG-7;ACHARIACEAE Rawsonia lucida (FOREST PEACH)|Synonym: ACHARIACEAE Rawsonia usambarensis
IW-20;2923684.0;Inside Wood;IFC-12;IFV-3;IFG-4;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-22;IFV-3;IFG-4;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-23;IFV-3;IFG-4;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-66;IFV-3;IFG-5;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-110;IFV-3;IFG-7;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-154;IFV-3;IFG-10;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-159;IFV-3;IFG-10;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-20;2923684.0;Inside Wood;IFC-160;IFV-3;IFG-10;ACHARIACEAE Scottellia coriacea A. Chev. (AKOSSIKA, ODOKO)
IW-21;2923684.0;Inside Wood;IFC-12;IFV-3;IFG-4;ACHARIACEAE Scottellia klaineana Pierre (AKOSSIKA)
IW-21;2923684.0;Inside Wood;IFC-16;IFV-3;IFG-4;ACHARIACEAE Scottellia klaineana Pierre (AKOSSIKA)
IW-21;2923684.0;Inside Wood;IFC-34;IFV-4;IFG-4;ACHARIACEAE Scottellia klaineana Pierre (AKOSSIKA)
IW-21;2923684.0;Inside Wood;IFC-35;IFV-4;IFG-4;ACHARIACEAE Scottellia klaineana Pierre (AKOSSIKA)
IW-21;2923684.0;Inside Wood;IFC-36;IFV-3;IFG-4;ACHARIACEAE Scottellia klaineana Pierre (AKOSSIKA)
