feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-69;TRACHEIDS AND FIBRES;Fibre wall thickness;Fibres thin- to thick-walled;;Hardwood;IAWA;69;;;;
IFC-70;TRACHEIDS AND FIBRES;Fibre wall thickness;Fibres very thick-walled;;Hardwood;IAWA;70;;;;
IFC-71;TRACHEIDS AND FIBRES;Mean fibre lengths;<= 900 µm;;Hardwood;IAWA;71;;;;
IFC-72;TRACHEIDS AND FIBRES;Mean fibre lengths;900–1600 µm;;Hardwood;IAWA;72;;;;
IFC-73;TRACHEIDS AND FIBRES;Mean fibre lengths;>= 1600 µm;;Hardwood;IAWA;73;;;;
IFC-74;TRACHEIDS AND FIBRES;Mean fibre lengths;Mean, +/– Standard Deviation, Range, n = x;;Hardwood;IAWA;74;;;Value;
IFC-75;AXIAL PARENCHYMA;Absent/rare;Axial parenchyma absent or extremely rare;;Hardwood;IAWA;75;;;;
IFC-76;AXIAL PARENCHYMA;Apotracheal;Axial parenchyma diffuse;;Hardwood;IAWA;76;;;;
IFC-77;AXIAL PARENCHYMA;Apotracheal;Axial parenchyma diffuse-in-aggregates;;Hardwood;IAWA;77;;;;
IFC-78;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma scanty paratracheal;;Hardwood;IAWA;78;;;;
IFC-79;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma vasicentric;;Hardwood;IAWA;79;;;;
IFC-80;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma aliform;;Hardwood;IAWA;80;;;;
IFC-81;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma lozenge-aliform;;Hardwood;IAWA;81;;;;
IFC-82;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma winged-aliform;;Hardwood;IAWA;82;;;;
IFC-83;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma confluent;;Hardwood;IAWA;83;;;;
IFC-84;AXIAL PARENCHYMA;Paratracheal;Axial parenchyma unilateral paratracheal;;Hardwood;IAWA;84;;;;
IFC-85;AXIAL PARENCHYMA;Banded wide;Axial parenchyma bands more than three cells wide;;Hardwood;IAWA;85;;;;
